timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507482002,35275,HTTP Request,200,,Thread Group 1-45,text,true,,161,118,100,100,30650,0,382
1520507482001,28228,HTTP Request,200,,Thread Group 1-22,text,true,,161,118,100,100,28228,0,9
1520507495896,21390,HTTP Request,200,,Thread Group 1-6,text,true,,161,118,100,100,21390,0,2769
1520507482004,28816,HTTP Request,200,,Thread Group 1-25,text,true,,161,118,100,100,28133,0,2219
1520507482027,31253,HTTP Request,200,,Thread Group 1-91,text,true,,161,118,100,100,31170,0,2177
1520507510150,681,HTTP Request,200,,Thread Group 1-70,text,true,,161,118,100,100,681,0,4
1520507514971,2515,HTTP Request,200,,Thread Group 1-22,text,true,,161,118,100,100,2515,0,1
1520507510137,702,HTTP Request,200,,Thread Group 1-74,text,true,,161,118,100,100,702,0,0
1520507514499,2989,HTTP Request,200,,Thread Group 1-70,text,true,,161,118,100,100,2989,0,0
1520507510144,700,HTTP Request,200,,Thread Group 1-35,text,true,,161,118,100,100,700,0,0
1520507514963,2529,HTTP Request,200,,Thread Group 1-56,text,true,,161,118,100,100,2526,0,0
1520507505455,5394,HTTP Request,200,,Thread Group 1-79,text,true,,161,118,100,100,5394,0,4704
1520507514861,2632,HTTP Request,200,,Thread Group 1-78,text,true,,161,118,100,100,2632,0,1
1520507510172,683,HTTP Request,200,,Thread Group 1-69,text,true,,161,118,100,100,683,0,64
1520507514974,2522,HTTP Request,200,,Thread Group 1-61,text,true,,161,118,100,100,2522,0,0
1520507499385,11486,HTTP Request,200,,Thread Group 1-14,text,true,,161,118,100,100,11450,0,10778
1520507514910,2589,HTTP Request,200,,Thread Group 1-46,text,true,,161,118,100,100,2575,0,1
1520507460214,49925,HTTP Request,200,,Thread Group 1-75,text,true,,161,118,100,100,44360,0,8804
1520507514731,2771,HTTP Request,200,,Thread Group 1-11,text,true,,161,118,100,100,2770,0,0
1520507495896,15779,HTTP Request,200,,Thread Group 1-84,text,true,,161,118,100,100,14252,0,3265
1520507514673,2835,HTTP Request,200,,Thread Group 1-51,text,true,,161,118,100,100,2834,0,0
1520507482062,29849,HTTP Request,200,,Thread Group 1-71,text,true,,161,118,100,100,28091,0,1419
1520507514967,2544,HTTP Request,200,,Thread Group 1-18,text,true,,161,118,100,100,2539,0,1
1520507504581,7712,HTTP Request,200,,Thread Group 1-59,text,true,,161,118,100,100,7712,0,5572
1520507516403,1117,HTTP Request,200,,Thread Group 1-88,text,true,,161,118,100,100,1117,0,0
1520507482062,30253,HTTP Request,200,,Thread Group 1-89,text,true,,161,118,100,100,28092,0,1418
1520507514141,3382,HTTP Request,200,,Thread Group 1-1,text,true,,161,118,100,100,3376,0,0
1520507459556,50601,HTTP Request,200,,Thread Group 1-9,text,true,,161,118,100,100,45021,0,11912
1520507516396,1129,HTTP Request,200,,Thread Group 1-90,text,true,,161,118,100,100,1129,0,1
1520507482001,28159,HTTP Request,200,,Thread Group 1-65,text,true,,161,118,100,100,28136,0,1481
1520507515985,1543,HTTP Request,200,,Thread Group 1-29,text,true,,161,118,100,100,1541,0,1
1520507459301,54576,HTTP Request,200,,Thread Group 1-13,text,true,,161,118,100,100,50863,0,12165
1520507515358,2172,HTTP Request,200,,Thread Group 1-8,text,true,,161,118,100,100,2171,0,2
1520507501462,12654,HTTP Request,200,,Thread Group 1-8,text,true,,161,118,100,100,12654,0,3111
1520507514985,2549,HTTP Request,200,,Thread Group 1-19,text,true,,161,118,100,100,2548,0,1
1520507504573,9567,HTTP Request,200,,Thread Group 1-4,text,true,,161,118,100,100,9567,0,5571
1520507516396,1163,HTTP Request,200,,Thread Group 1-4,text,true,,161,118,100,100,1162,0,0
1520507482003,32138,HTTP Request,200,,Thread Group 1-1,text,true,,161,118,100,100,32138,0,1476
1520507500958,13027,HTTP Request,200,,Thread Group 1-5,text,true,,161,118,100,100,13027,0,3610
1520507481999,32144,HTTP Request,200,,Thread Group 1-72,text,true,,161,118,100,100,32144,0,11
1520507511006,6995,HTTP Request,200,,Thread Group 1-39,text,true,,161,118,100,100,6995,0,5375
1520507493137,21006,HTTP Request,200,,Thread Group 1-46,text,true,,161,118,100,100,21006,0,997
1520507514964,3153,HTTP Request,200,,Thread Group 1-43,text,true,,161,118,100,100,3152,0,0
1520507496789,13371,HTTP Request,200,,Thread Group 1-83,text,true,,161,118,100,100,8654,0,1
1520507516318,1802,HTTP Request,200,,Thread Group 1-42,text,true,,161,118,100,100,1796,0,1
1520507510179,4057,HTTP Request,200,,Thread Group 1-100,text,true,,161,118,100,100,4056,0,0
1520507501793,16375,HTTP Request,200,,Thread Group 1-54,text,true,,161,118,100,100,16374,0,15018
